ID,State,City,Locality,Property_Type,BHK,Size_in_SqFt,Price_in_Lakhs,Price_per_SqFt,Year_Built,Furnished_Status,Floor_No,Total_Floors,Age_of_Property,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Security,Amenities,Facing,Owner_Type,Availability_Status
37,Delhi,dwarka,locality_480,Independent House,2,775,26.99,0.03,2008,Semi-furnished,11,14,18,8,1,High,No,Yes,Clubhouse,South,Broker,Ready_to_Move
38,Andhra Pradesh,vishakhapatnam,locality_485,Independent House,2,584,109.23,0.19,2001,Furnished,3,22,25,3,2,Medium,Yes,No,"Pool, Garden, Gym",South,Builder,Ready_to_Move
39,Tamil Nadu,chennai,locality_398,Apartment,1,3713,258.22,0.07,2015,Semi-furnished,21,4,11,8,3,Medium,No,No,"Pool, Gym, Clubhouse",East,Owner,Under_Construction
40,Madhya Pradesh,bhopal,locality_305,Villa,3,2007,178.23,0.09,1997,Furnished,21,11,29,6,5,Low,No,No,"Garden, Pool, Clubhouse, Playground",South,Builder,Ready_to_Move
41,Madhya Pradesh,indore,locality_114,Villa,3,3727,358.45,0.1,2013,Unfurnished,15,6,13,5,2,Low,Yes,No,"Playground, Clubhouse, Garden, Pool",South,Builder,Ready_to_Move
42,Uttarakhand,haridwar,locality_202,Independent House,5,2238,58.14,0.03,2010,Unfurnished,22,2,16,5,5,Medium,Yes,No,"Pool, Garden",South,Broker,Under_Construction
43,Punjab,ludhiana,locality_96,Apartment,4,1845,472.99,0.26,2022,Unfurnished,7,27,4,10,5,Medium,No,No,"Playground, Clubhouse",East,Broker,Ready_to_Move
44,Karnataka,mysore,locality_295,Independent House,3,3796,461.46,0.12,2013,Furnished,2,3,13,6,5,Low,No,No,Pool,East,Broker,Under_Construction
45,Bihar,patna,locality_58,Villa,4,1515,161.03,0.11,2012,Furnished,20,30,14,3,7,Low,No,Yes,"Gym, Pool, Garden, Playground",East,Broker,Ready_to_Move
46,Chhattisgarh,raipur,locality_484,Apartment,4,2409,180.64,0.07,1996,Unfurnished,11,20,30,5,7,Low,No,Yes,"Playground, Pool, Gym, Garden",North,Builder,Ready_to_Move
47,Tamil Nadu,chennai,locality_323,Villa,5,641,300.29,0.47,2017,Furnished,23,15,9,5,1,Low,No,Yes,"Clubhouse, Playground",North,Builder,Ready_to_Move
48,Andhra Pradesh,vijayawada,locality_432,Apartment,2,3771,30.57,0.01,2023,Unfurnished,17,2,3,5,4,Low,Yes,Yes,Clubhouse,North,Broker,Under_Construction
49,Delhi,dwarka,locality_273,Villa,2,1771,335.78,0.19,2009,Semi-furnished,26,19,17,10,4,Medium,Yes,Yes,"Playground, Garden",West,Broker,Under_Construction
50,Chhattisgarh,bilaspur,locality_458,Villa,4,733,438.74,0.6,2000,Semi-furnished,3,6,26,1,1,High,No,No,"Garden, Playground, Pool",West,Owner,Under_Construction
51,Kerala,trivandrum,locality_150,Apartment,3,4766,55.83,0.01,2012,Semi-furnished,10,13,14,10,9,Medium,Yes,Yes,"Playground, Clubhouse, Pool, Garden",South,Builder,Ready_to_Move
52,Uttarakhand,haridwar,locality_238,Independent House,4,556,308.46,0.55,2000,Semi-furnished,14,6,26,8,7,Medium,No,Yes,"Gym, Playground",North,Builder,Under_Construction
53,Madhya Pradesh,indore,locality_494,Villa,2,3881,204.19,0.05,2004,Furnished,14,16,22,9,3,Medium,Yes,Yes,"Clubhouse, Gym, Pool, Playground, Garden",South,Owner,Under_Construction
54,Jharkhand,ranchi,locality_464,Villa,2,855,335.3,0.39,2011,Unfurnished,14,24,15,3,3,Low,Yes,No,"Gym, Clubhouse, Garden, Playground",East,Broker,Ready_to_Move
55,Uttar Pradesh,noida,locality_431,Apartment,3,1443,173.87,0.12,2009,Furnished,23,23,17,10,3,High,No,Yes,"Pool, Garden, Playground, Clubhouse, Gym",West,Builder,Ready_to_Move
56,Delhi,new delhi,locality_484,Apartment,2,3300,274.47,0.08,2010,Semi-furnished,0,28,16,9,10,Medium,Yes,Yes,"Clubhouse, Gym, Playground",South,Builder,Ready_to_Move
57,Karnataka,bangalore,locality_125,Apartment,5,3276,139.64,0.04,1997,Semi-furnished,9,14,29,4,7,Medium,No,Yes,"Gym, Pool",West,Broker,Under_Construction
58,Rajasthan,jodhpur,locality_218,Villa,3,581,457.94,0.79,1995,Furnished,11,17,31,6,2,Low,No,Yes,Clubhouse,East,Broker,Under_Construction
59,Kerala,kochi,locality_112,Apartment,3,1992,11.59,0.01,1991,Furnished,16,11,35,4,2,High,No,Yes,"Pool, Clubhouse",North,Owner,Under_Construction
60,Delhi,dwarka,locality_27,Villa,2,1495,129.43,0.09,1993,Furnished,27,3,33,8,6,High,No,No,"Clubhouse, Playground, Gym, Pool, Garden",South,Owner,Under_Construction
61,Rajasthan,jaipur,locality_40,Apartment,3,4253,92.82,0.02,1990,Unfurnished,15,5,36,2,4,Medium,Yes,No,"Gym, Clubhouse, Playground, Pool, Garden",West,Builder,Under_Construction
62,Tamil Nadu,chennai,locality_457,Villa,1,1106,421.32,0.38,2004,Unfurnished,3,8,22,6,3,High,Yes,Yes,"Playground, Garden, Clubhouse, Gym, Pool",West,Builder,Under_Construction
63,Andhra Pradesh,vijayawada,locality_64,Villa,1,2471,437.65,0.18,2022,Furnished,4,7,4,1,4,Low,No,Yes,"Gym, Playground, Garden, Clubhouse",West,Owner,Under_Construction
64,Punjab,amritsar,locality_372,Villa,1,1949,109.09,0.06,1999,Unfurnished,1,3,27,1,8,High,Yes,Yes,"Playground, Garden, Clubhouse, Gym, Pool",West,Owner,Under_Construction
65,Bihar,patna,locality_76,Apartment,4,1574,100.44,0.06,2003,Semi-furnished,10,26,23,1,5,High,Yes,No,"Pool, Garden, Playground, Clubhouse, Gym",West,Owner,Ready_to_Move
66,Madhya Pradesh,bhopal,locality_412,Apartment,1,890,439.52,0.49,2020,Semi-furnished,12,29,6,5,3,Low,No,No,"Clubhouse, Playground",South,Owner,Ready_to_Move
67,Gujarat,surat,locality_169,Villa,1,2318,234.83,0.1,1997,Furnished,26,16,29,9,6,High,Yes,Yes,Gym,East,Owner,Under_Construction
68,Madhya Pradesh,indore,locality_479,Apartment,2,502,486.68,0.97,2008,Semi-furnished,14,7,18,5,10,Medium,No,No,"Playground, Clubhouse",West,Owner,Under_Construction
69,Madhya Pradesh,bhopal,locality_121,Independent House,1,3000,87.74,0.03,2017,Semi-furnished,13,25,9,4,4,Medium,Yes,Yes,Garden,East,Builder,Under_Construction
70,Uttar Pradesh,lucknow,locality_128,Independent House,1,1704,148.92,0.09,2014,Unfurnished,11,21,12,2,4,Medium,Yes,No,"Pool, Garden, Gym, Playground, Clubhouse",West,Builder,Ready_to_Move
71,Punjab,amritsar,locality_145,Apartment,4,1346,53.12,0.04,2017,Furnished,23,2,9,3,6,High,No,No,"Playground, Gym",South,Owner,Under_Construction
72,Delhi,new delhi,locality_205,Villa,2,1518,408.45,0.27,2005,Semi-furnished,1,1,21,9,2,Low,No,No,"Pool, Garden, Clubhouse, Playground",West,Owner,Ready_to_Move
73,Uttarakhand,dehradun,locality_353,Villa,4,1399,234.14,0.17,2002,Unfurnished,11,2,24,9,10,Medium,Yes,Yes,"Gym, Pool, Playground, Garden",South,Broker,Under_Construction
74,Gujarat,ahmedabad,locality_387,Independent House,4,978,418.76,0.43,2001,Semi-furnished,27,30,25,8,2,High,Yes,No,"Clubhouse, Garden, Gym, Pool, Playground",East,Owner,Under_Construction
75,Chhattisgarh,raipur,locality_278,Villa,3,1041,357.84,0.34,1995,Semi-furnished,22,30,31,1,7,Low,Yes,No,Clubhouse,East,Owner,Under_Construction
76,Rajasthan,jodhpur,locality_258,Apartment,1,3028,131.06,0.04,2002,Semi-furnished,19,16,24,4,8,High,Yes,Yes,Pool,South,Owner,Under_Construction
77,Gujarat,surat,locality_418,Independent House,3,3757,470.63,0.13,2018,Semi-furnished,11,23,8,6,2,High,Yes,Yes,Gym,South,Builder,Under_Construction
78,Bihar,patna,locality_436,Independent House,5,4890,392.39,0.08,2015,Furnished,28,11,11,3,6,Low,Yes,No,Gym,East,Broker,Under_Construction
79,Andhra Pradesh,vishakhapatnam,locality_92,Apartment,3,2410,272.3,0.11,2020,Semi-furnished,10,11,6,3,8,Medium,No,Yes,Playground,North,Builder,Under_Construction
80,Punjab,amritsar,locality_39,Apartment,1,1889,257.47,0.14,2020,Semi-furnished,11,3,6,5,10,Low,No,No,"Playground, Gym, Garden, Clubhouse, Pool",North,Owner,Ready_to_Move
81,Chhattisgarh,bilaspur,locality_473,Villa,4,1629,222.48,0.14,2019,Unfurnished,14,26,7,2,8,Low,Yes,No,"Gym, Clubhouse, Pool, Playground",East,Broker,Ready_to_Move
82,Rajasthan,jaipur,locality_63,Villa,3,4649,176.55,0.04,1996,Furnished,21,22,30,8,4,High,No,No,"Garden, Gym, Clubhouse",East,Owner,Ready_to_Move
83,Haryana,gurgaon,locality_12,Independent House,2,1876,263.29,0.14,2020,Unfurnished,11,12,6,9,6,High,No,Yes,"Clubhouse, Garden",South,Owner,Under_Construction
84,Karnataka,bangalore,locality_498,Independent House,4,3936,401.88,0.1,1999,Furnished,2,6,27,3,6,High,No,Yes,"Gym, Pool, Clubhouse, Playground, Garden",West,Builder,Ready_to_Move
85,Rajasthan,jodhpur,locality_356,Independent House,2,3065,111.1,0.04,1992,Semi-furnished,8,16,34,10,3,Medium,No,Yes,"Playground, Garden, Pool, Gym",South,Broker,Ready_to_Move
86,Karnataka,mangalore,locality_314,Villa,2,1288,395.3,0.31,2022,Semi-furnished,22,20,4,1,10,Medium,No,Yes,"Clubhouse, Pool, Playground",West,Broker,Under_Construction
87,Haryana,gurgaon,locality_1,Apartment,2,3729,178.74,0.05,2011,Semi-furnished,23,27,15,1,3,Low,Yes,No,"Garden, Pool, Playground, Clubhouse",South,Builder,Ready_to_Move
88,Andhra Pradesh,vishakhapatnam,locality_394,Villa,1,4888,59.7,0.01,1993,Furnished,0,4,33,7,4,High,No,Yes,"Pool, Playground, Clubhouse, Garden",West,Broker,Ready_to_Move
89,Punjab,ludhiana,locality_187,Villa,1,2888,157.15,0.05,2014,Semi-furnished,17,9,12,8,8,Medium,Yes,No,"Playground, Pool, Garden, Gym",West,Builder,Under_Construction
90,Delhi,new delhi,locality_420,Villa,3,3596,129.74,0.04,1996,Furnished,15,24,30,9,3,Low,No,Yes,Clubhouse,West,Builder,Ready_to_Move
91,Uttar Pradesh,noida,locality_305,Villa,3,4607,223.89,0.05,2000,Unfurnished,24,25,26,2,10,High,Yes,Yes,"Playground, Garden, Clubhouse, Gym",West,Builder,Under_Construction
92,Jharkhand,ranchi,locality_181,Independent House,3,2163,57.29,0.03,2010,Semi-furnished,28,30,16,9,8,Low,Yes,No,Pool,East,Owner,Ready_to_Move
93,Haryana,faridabad,locality_75,Villa,1,1763,201.3,0.11,1995,Furnished,7,8,31,2,1,Medium,Yes,Yes,"Playground, Pool",North,Broker,Ready_to_Move
94,Uttar Pradesh,lucknow,locality_179,Independent House,3,4283,40.33,0.01,2016,Semi-furnished,15,22,10,3,7,High,Yes,No,"Playground, Pool",East,Builder,Ready_to_Move
95,Odisha,cuttack,locality_180,Independent House,1,2614,356.41,0.14,2020,Unfurnished,14,2,6,7,8,Low,Yes,No,Pool,North,Broker,Ready_to_Move
96,Andhra Pradesh,vijayawada,locality_326,Independent House,5,4113,436.35,0.11,1991,Semi-furnished,13,4,35,2,1,Low,Yes,No,Playground,West,Broker,Under_Construction
97,Bihar,gaya,locality_384,Apartment,3,2770,407.95,0.15,2016,Semi-furnished,29,5,10,5,2,High,No,No,"Pool, Gym, Clubhouse",North,Broker,Under_Construction
98,West Bengal,durgapur,locality_430,Villa,3,1177,81.49,0.07,1994,Unfurnished,12,15,32,10,6,Medium,No,Yes,Garden,North,Owner,Ready_to_Move
99,Punjab,ludhiana,locality_363,Villa,1,1277,12.52,0.01,2001,Semi-furnished,4,9,25,3,9,Medium,No,Yes,"Garden, Playground, Clubhouse, Pool, Gym",North,Builder,Ready_to_Move
100,West Bengal,kolkata,locality_83,Apartment,4,509,375.0,0.74,2018,Semi-furnished,10,25,8,9,3,Medium,No,Yes,"Pool, Clubhouse, Gym",South,Owner,Ready_to_Move
